name,wikipedia__en,state,group,term,source,id,name__es,wikipedia__es,name__en,gender,birth_date,given_name,identifier__viaf,image,death_date,family_name,identifier__freebase
Liliana Castillo Terreros,Liliana Castillo Terreros,Puebla,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215726,,"",Liliana Castillo Terreros,female,1976-09-28,Liliana,,,,,
Julio César Lorenzini,Julio César Lorenzini,Puebla,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16216654,,"",Julio César Lorenzini,male,1977-10-02,Julio,,,,,
Williams Ochoa,Williams Ochoa,Chiapas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16217519,,"",Williams Ochoa,male,1978-06-06,,,,,,
Benjamín Castillo Valdez,Benjamín Castillo Valdez,Baja California,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193044,,"",Benjamín Castillo Valdez,male,1959-03-30,Benjamín,,,,,
José Luis Oliveros Usabiaga,José Luis Oliveros Usabiaga,Guanajuato,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5941545,José Luis Oliveros Usabiaga (Chelis),José Luis Oliveros Usabiaga (Chelis),José Luis Oliveros Usabiaga,male,1983-05-08,José,,,,,
Sergio Armando Chávez Davalos,Sergio Armando Chávez Davalos,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16214778,,"",Sergio Armando Chávez Davalos,male,1974-10-31,Sergio,,,,,
Luis Olvera Correa,Luis Olvera Correa,Michoacán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213407,,"",Luis Olvera Correa,male,1970-01-28,Luis,,,,,
Armando Contreras Ceballos,Armando Contreras Ceballos,Michoacán,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190306,,"",Armando Contreras Ceballos,male,1962-03-29,Armando,,,,,
Maria del Carmen Ordaz,Maria del Carmen Ordaz,Yucatán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Luis Armando Córdova Díaz,Luis Armando Córdova Díaz,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16199233,,"",Luis Armando Córdova Díaz,male,1968-12-30,Luis,,,,,
Javier Orihuela García,Javier Orihuela García,Morelos,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186819,,"",Javier Orihuela García,male,1955-06-23,Javier,87964794,,,,
Alberto Coronado Quintanilla,Alberto Coronado Quintanilla,Nuevo León,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195014,,"",Alberto Coronado Quintanilla,male,1963-12-03,Alberto,,,,,
Marcelina Orta Coronado,Marcelina Orta Coronado,Tamaulipas,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16200663,,"",Marcelina Orta Coronado,female,1968-08-11,,,,,,
José Francisco Coronato Rodríguez,José Francisco Coronato Rodríguez,Morelos,MC,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16185298,,"",José Francisco Coronato Rodríguez,male,1953-12-04,José,,,,,
Salvador Ortíz García,Salvador Ortíz García,Michoacán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195722,,"",Salvador Ortíz García,male,1964-11-28,Salvador,,,,,
Francisca Elena Corrales,Francisca Elena Corrales,Sinaloa,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195954,,"",Francisca Elena Corrales,female,1965-05-19,Francisca,,,,,
María Isabel Ortíz Mantilla,María Isabel Ortíz Mantilla,Puebla,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215468,,"",María Isabel Ortíz Mantilla,female,1975-09-03,María,,,,,
Arturo Cruz Ramírez,Arturo Cruz Ramírez,Mexico,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186201,,"",Arturo Cruz Ramírez,male,1952-12-15,Arturo,,,,,
Máximo Othón Zayas,Máximo Othón Zayas,Sonora,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213690,,"",Máximo Othón Zayas,male,1971-05-15,Máximo,,,,,
Fernando Cuéllar Reyes,Fernando Cuéllar Reyes,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190336,Fernando Cuéllar Reyes,"",Fernando Cuéllar Reyes,male,1963-09-22,Fernando,,,,,
Jesús Oviedo Herrera,Jesús Oviedo Herrera,Guanajuato,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196200,,"",Jesús Oviedo Herrera,male,1965-06-11,Jesús,,,,,
Alberto Curi Naime,Alberto Curi Naime,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187033,,"",Alberto Curi Naime,male,1956-08-23,Alberto,,,,,
Germán Pacheco Díaz,Germán Pacheco Díaz,Tamaulipas,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16200684,,"",Germán Pacheco Díaz,male,1968-03-16,Germán,,,,,
Mario Alberto Dávila Delgado,Mario Alberto Dávila Delgado,Coahuila,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193067,,"",Mario Alberto Dávila Delgado,male,1959-12-26,Mario,,,,,
Román Padilla Fierro,Román Padilla Fierro,Sinaloa,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16137131,,"",Román Padilla Fierro,male,1949-01-12,Román,,,,,
Enrique De Castro Palomino,Enrique De Castro Palomino,Jalisco,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16202418,,"",Enrique De Castro Palomino,male,1982-06-19,Enrique,,,,,
Cesario Padilla Navarro,Cesario Padilla Navarro,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16149925,,"",Cesario Padilla Navarro,male,1951-04-25,,,,,,
Carlos De Jesús Alejandro,Carlos De Jesús Alejandro,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
María Pariente Gavito,María Pariente Gavito,Chiapas,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186827,,"",María Pariente Gavito,female,1955-12-01,María,,,,,
Rosalba De la Cruz Requena,Rosalba De la Cruz Requena,Tamaulipas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Raúl Paz Alonzo,Raúl Paz Alonzo,Yucatán,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16216000,,"",Raúl Paz Alonzo,male,1976-02-21,Raúl,,,,,
Arturo De la Rosa Escalante,Arturo De la Rosa Escalante,Baja California Sur,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Zita Beatriz Pazzi,Zita Beatriz Pazzi,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187255,,"",Zita Beatriz Pazzi,female,1956-04-12,Zita,,,,,
Sebastián De la Rosa Peláez,Sebastián De la Rosa Peláez,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16191144,,"",Sebastián De la Rosa Peláez,male,1963-01-20,Sebastián,,,,,
Francisco Pelayo Covarrubias,Francisco Pelayo Covarrubias,Baja California Sur,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16206533,,"",Francisco Pelayo Covarrubias,male,1969-11-08,Francisco,,,,,
Jorge Federico De la Vega Membrillo,Jorge Federico De la Vega Membrillo,Mexico,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16191429,,"",Jorge Federico De la Vega Membrillo,male,1959-04-23,Jorge,,,,,
Gerardo Peña Avilés,Gerardo Peña Avilés,Sinaloa,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195740,,"",Gerardo Peña Avilés,male,1964-09-27,Gerardo,,,,,
Fernando De las Fuentes,Fernando De las Fuentes,Coahuila,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Patricia Peña Recio,Patricia Peña Recio,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16216717,,"",Patricia Peña Recio,female,1977-12-28,Patricia,,,,,
Joaquín Caballero Rosiñol,Joaquín Caballero Rosiñol,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213464,,"",Joaquín Caballero Rosiñol,male,1971-05-10,Joaquín,,,,,
Juan Isidro Del Bosque,Juan Isidro Del Bosque,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Juan Manuel Diez Francos,Juan Manuel Diez Francos,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16148425,Juan Manuel Diez Francos,Juan Manuel Diez Francos,Juan Manuel Diez Francos,male,1951-12-15,Juan,,,,,
Hugo Mauricio Pérez Anzueto,Hugo Mauricio Pérez Anzueto,Chiapas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16206550,,"",Hugo Mauricio Pérez Anzueto,male,1969-12-30,Hugo,,,,,
Paulina Alejandra Del Moral,Paulina Alejandra Del Moral,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16222329,,"",Paulina Alejandra Del Moral,female,1983-08-22,Paulina,,,,,
José Noel Pérez de Alba,José Noel Pérez de Alba,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194256,,"",José Noel Pérez de Alba,male,1961-09-21,José,,,,,
Claudia Delgadillo González,Claudia Delgadillo González,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213930,,"",Claudia Delgadillo González,female,1972-07-24,Claudia,,,,,
Rosa Elba Pérez,Rosa Elba Pérez,Guanajuato,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16204869,,"",Rosa Elba Pérez,female,1968-09-30,Rosa,,,,,
Antonio de Jesús Díaz,Antonio de Jesús Díaz,Chiapas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16192681,,"",Antonio de Jesús Díaz,male,1958-01-14,Antonio,,,,,
David Pérez Tejada,David Pérez Tejada,Baja California,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16218727,,"",David Pérez Tejada,male,1979-11-19,David,,,,,
Víctor Emanuel Díaz Palacios,Víctor Emanuel Díaz Palacios,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16145023,,"",Víctor Emanuel Díaz Palacios,male,1950-11-22,Victor,,,,,
Norma Ponce Orozco,Norma Ponce Orozco,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195750,,"",Norma Ponce Orozco,female,1964-10-01,Norma,,,,,
Alberto Díaz Trujillo,Alberto Díaz Trujillo,Mexico,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215237,,"",Alberto Díaz Trujillo,male,1975-11-07,Alberto,,,,,
Vicario Portillo Martínez,Vicario Portillo Martínez,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193802,,"",Vicario Portillo Martínez,male,1960-11-06,,,,,,
Eva Diego Cruz,Eva Diego Cruz,Oaxaca,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190364,,"",Eva Diego Cruz,female,1975-05-02,Eva,,,,,
Humberto Prieto Herrera,Humberto Prieto Herrera,Tamaulipas,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q15144679,Humberto Armando Prieto Herrera,Humberto Armando Prieto Herrera,Humberto Prieto Herrera,male,1985-08-06,Humberto,,,,,
José Enrique Doger Guerrero,José Enrique Doger Guerrero,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16188994,,"",José Enrique Doger Guerrero,male,1957-08-19,José,,,,,
Eduardo Quian Alcocer,Eduardo Quian Alcocer,Quintana Roo,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16197181,,"",Eduardo Quian Alcocer,male,1967-12-01,Eduardo,,,,,
Pedro Ignacio Domínguez,Pedro Ignacio Domínguez,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213496,,"",Pedro Ignacio Domínguez,male,1971-09-09,Pedro,,,,,
Socorro Quintana León,Socorro Quintana León,Michoacán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194758,,"",Socorro Quintana León,female,1962-12-23,Socorro,,,,,
José Ignacio Duarte Murillo,José Ignacio Duarte Murillo,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195987,,"",José Ignacio Duarte Murillo,male,1965-09-09,José,,,,,
Esther Quintana Salinas,Esther Quintana Salinas,Coahuila,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16150059,,"",Esther Quintana Salinas,female,1951-07-01,Esther,,,,,
Catalino Duarte Ortuño,Catalino Duarte Ortuño,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190381,,"",Catalino Duarte Ortuño,male,1970-03-23,,,,,,
Karen Quiroga Anguiano,Karen Quiroga Anguiano,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16191081,,"",Karen Quiroga Anguiano,female,1980-01-19,Karen,,,,,
Irma Elizondo Ramírez,Irma Elizondo Ramírez,Coahuila,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16106929,Irma Elizondo Ramírez,Irma Elizondo Ramírez,Irma Elizondo Ramírez,female,1945-11-21,Irma,,,2014-08-04,,
José Rangel Espinosa,José Rangel Espinosa,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5945029,José Rangel Espinosa,José Rangel Espinosa,José Rangel Espinosa,male,1956-03-19,José,,,,,
José Rubén Escajeda,José Rubén Escajeda,Durango,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193569,,"",José Rubén Escajeda,male,1960-03-11,José,,,,,
Alejandro Rangel Segovia,Alejandro Rangel Segovia,Guanajuato,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194765,,"",Alejandro Rangel Segovia,male,1962-08-29,Alejandro,,,,,
Luis Ángel Espinoza Cházaro,Luis Ángel Espinoza Cházaro,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190395,,"",Luis Ángel Espinoza Cházaro,male,1974-05-07,Luis,,,,,
José Enrique Reina Lizárraga,José Enrique Reina Lizárraga,Sonora,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16206802,,"",José Enrique Reina Lizárraga,male,1969-08-12,José,,,,,
José Luis Esquivel Zalpa,José Luis Esquivel Zalpa,Michoacán,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16185330,,"",José Luis Esquivel Zalpa,male,1953-11-15,José,,,,,
Tanya Rellstab Carreto,Tanya Rellstab Carreto,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16217576,,"",Tanya Rellstab Carreto,female,1978-06-26,Tanya,,,,,
Faustino Félix Chávez,Faustino Félix Chávez,Sonora,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196928,,"",Faustino Félix Chávez,male,1967-10-21,Faustino,,,,,
Roberto Carlos Reyes Gámiz,Roberto Carlos Reyes Gámiz,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16206808,,"",Roberto Carlos Reyes Gámiz,male,1969-09-25,Roberto,,,,,
Francisco Javier Fernández Clamont,Francisco Javier Fernández Clamont,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213950,,"",Francisco Javier Fernández Clamont,male,1972-04-10,Francisco,,,,,
Ernesto Alfonso Robledo,Ernesto Alfonso Robledo,Nuevo León,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16216040,,"",Ernesto Alfonso Robledo,male,1976-06-06,Ernesto,,,,,
Julio César Flemate,Julio César Flemate,Zacatecas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196461,,"",Julio César Flemate,male,1966-09-26,Julio,,,,,
Mayra Karina Robles Aguirre,Mayra Karina Robles Aguirre,Baja California,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16214153,,"",Mayra Karina Robles Aguirre,female,1972-09-07,Mayra,,,,,
Uriel Flores Aguayo,Uriel Flores Aguayo,Veracruz,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190423,,"",Uriel Flores Aguayo,male,1959-05-06,Uriel,,,,,
Juan Manuel Rocha Piedra,Juan Manuel Rocha Piedra,Nayarit,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193826,,"",Juan Manuel Rocha Piedra,male,1960-06-27,Juan,,,,,
José Luis Cruz Flores Gómez,José Luis Cruz Flores Gómez,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16189058,,"",José Luis Cruz Flores Gómez,male,1957-05-03,José,,,,,
Francisco Tomás Rodríguez Montero,Francisco Tomás Rodríguez Montero,Morelos,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16106429,,"",Francisco Tomás Rodríguez Montero,male,1943-11-05,Francisco,,,,,
José Luis Flores Méndez,José Luis Flores Méndez,Coahuila,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187072,,"",José Luis Flores Méndez,male,1956-04-28,José,,,,,
Diego Rodríguez Vallejo,Diego Rodríguez Vallejo,Guanajuato,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16221142,,"",Diego Rodríguez Vallejo,male,1980-11-15,Diego,,,,,
Guadalupe Flores Salazar,Guadalupe Flores Salazar,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190420,,"",Guadalupe Flores Salazar,female,1971-11-03,Guadalupe,,,,,
José Antonio Rojo García,José Antonio Rojo García,Hidalgo,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196674,,"",José Antonio Rojo García,male,1966-02-14,José,,,,,
Víctor Oswaldo Fuentes Solís,Víctor Oswaldo Fuentes Solís,Nuevo León,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215261,,"",Víctor Oswaldo Fuentes Solís,male,1975-05-27,Victor,,,,,
Jesús Tolentino Román,Jesús Tolentino Román,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187288,,"",Jesús Tolentino Román,male,1956-09-10,Jesús,,,,,
Adriana Fuentes Téllez,Adriana Fuentes Téllez,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195540,Adriana Fuentes Téllez,Adriana Fuentes Téllez,Adriana Fuentes Téllez,female,1964-03-05,Adriana,,,,,
Rosa Elia Romero Guzmán,Rosa Elia Romero Guzmán,Oaxaca,PT,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q6112158,Rosa Elia Romero Guzmán,Rosa Elia Romero Guzmán,Rosa Elia Romero Guzmán,female,1973-05-14,Rosa,,,,,
David Galindo Delgado,David Galindo Delgado,Sonora,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215267,,"",David Galindo Delgado,male,1975-12-07,David,,,,,
Salvador Romero Valencia,Salvador Romero Valencia,Michoacán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193830,,"",Salvador Romero Valencia,male,1960-10-30,Salvador,,,,,
Marina Garay Cabada,Marina Garay Cabada,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16185355,,"",Marina Garay Cabada,female,1953-12-06,Marina,,,,,
Bárbara Romo Fonseca,Bárbara Romo Fonseca,Zacatecas,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16216746,,"",Bárbara Romo Fonseca,female,1977-11-05,Bárbara,,,,,
José Guadalupe García Ramírez,José Guadalupe García Ramírez,Querétaro,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16199374,,"",José Guadalupe García Ramírez,male,1968-12-09,José,,,,,
Lizbeth Rosas Montero,Lizbeth Rosas Montero,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16191148,,"",Lizbeth Rosas Montero,female,1974-03-09,,,,,,
Antonio García Conejo,Antonio García Conejo,Michoacán,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q15303988,Antonio García Conejo,Antonio García Conejo,Antonio García Conejo,male,1971-09-05,Antonio,,,,,
Blas Ramón Rubio Lara,Blas Ramón Rubio Lara,Sinaloa,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16145714,,"",Blas Ramón Rubio Lara,male,1950-12-13,Blas,,,,,
Héctor García García,Héctor García García,Nuevo León,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195073,,"",Héctor García García,male,1963-05-03,Héctor,,,,,
Genaro Ruiz Arriaga,Genaro Ruiz Arriaga,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186872,Genaro Ruiz Arriaga,"",Genaro Ruiz Arriaga,male,1955-07-01,Gennaro,,,,Ruiz,
Carlos Alberto García González,Carlos Alberto García González,Tamaulipas,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213521,Carlos Alberto García González,Carlos Alberto García González,Carlos Alberto García González,male,1971-07-08,Carlos,,,,,
Roberto Ruiz Moronatti,Roberto Ruiz Moronatti,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
Josefina García Hernández,Josefina García Hernández,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16214417,,"",Josefina García Hernández,female,1973-12-25,Josefina,,,,,
Cristina Ruiz Sandoval,Cristina Ruiz Sandoval,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5791520,Cristina Ruiz Sandoval,Cristina Ruiz Sandoval,Cristina Ruiz Sandoval,female,1972-10-23,Cristina,,,,,
María García Olmedo,María García Olmedo,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16189269,,"",María García Olmedo,female,1957-04-30,María,,,,,
Mauricio Sahui Rivero,Mauricio Sahui Rivero,Yucatán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q15148611,Mauricio Sahuí Rivero,Mauricio Sahuí Rivero,Mauricio Sahui Rivero,male,1976-02-08,Mauricio,,,,,
María García Romero,María García Romero,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16199382,,"",María García Romero,female,1968-10-31,María,,,,,
Jessica Salazar Trejo,Jessica Salazar Trejo,Mexico,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16191179,,"",Jessica Salazar Trejo,female,1991-05-30,Jessica,,,,,
María Esther Garza Moreno,María Esther Garza Moreno,Guanajuato,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16120979,,"",María Esther Garza Moreno,female,1948-07-23,María,,,,,
Graciela Saldaña Fraire,Graciela Saldaña Fraire,Quintana Roo,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194307,Graciela Saldaña Fraire,Graciela Saldaña Fraire,Graciela Saldaña Fraire,female,1961-02-04,Graciela,,,,,
Juan Manuel Gastélum,Juan Manuel Gastélum,Baja California,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186248,,"",Juan Manuel Gastélum,male,1954-10-31,Juan,,,,,
Jorge Salgado Parra,Jorge Salgado Parra,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16191189,,"",Jorge Salgado Parra,male,1979-10-28,Jorge,,,,,
Gerardo Gaudiano Rovirosa,Gerardo Gaudiano Rovirosa,Tabasco,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5878279,Gerardo Gaudiano Rovirosa,Gerardo Gaudiano Rovirosa,Gerardo Gaudiano Rovirosa,male,1981-01-10,Gerardo,,,,,
Abel Salgado Peña,Abel Salgado Peña,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213752,,"",Abel Salgado Peña,male,1971-09-07,Abel,,,,,
Celia Isabel Gauna Ruiz,Celia Isabel Gauna Ruiz,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195543,,"",Celia Isabel Gauna Ruiz,female,1964-11-19,Celia,,,,,
Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Tamaulipas,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16107496,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,male,1946-05-31,,,,,,
Raúl Gómez Ramírez,Raúl Gómez Ramírez,Guanajuato,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195550,,"",Raúl Gómez Ramírez,male,1964-05-29,Raúl,,,2014-12-10,,
